direction,width,size_exp,pattern,repeats,baseline_ticks,pim_ticks,speedup,baseline_checksum,pim_checksum
chain,8,0,4,1,138063000,161976000,0.8523670173359016,8,8
left,8,0,4,1,137424500,158368000,0.8677542180238432,8,8
left_8,8,0,4,8,134541000,155382500,0.8658697086222709,56,56
left_arbitrary,8,0,4,13,153914500,187834500,0.8194154960883118,0,0
right,8,0,4,1,137342000,158688000,0.8654844726759428,0,0
right_8,8,0,4,8,135189500,156437000,0.8641785511100315,8,8
right_arbitrary,8,0,4,13,155595000,187754500,0.8287151572931674,0,0
