direction,width,size_exp,pattern,repeats,baseline_ticks,pim_ticks,speedup,baseline_checksum,pim_checksum
chain,8,0,0,1,19958335000,20009382000,0.9974488467459914,7417961230615284464,7417961230615284464
left,8,0,0,1,19832004000,19382928000,1.0231686358222039,7417961230615284464,7417961230615284464
left_8,8,0,0,8,17996606000,18785989000,0.9579802266465716,16659449662948772685,16659449662948772685
left_arbitrary,8,0,0,1,20421743000,20429818000,0.999604744398604,7417961230615284464,7417961230615284464
right,8,0,0,1,19778917000,19387635000,1.0201820387066292,6691588502004376136,6691588502004376136
right_8,8,0,0,8,18004955000,18798403000,0.9577917336914205,15218873280827343945,15218873280827343945
right_arbitrary,8,0,0,1,20723956000,20454295000,1.0131835880923787,6691588502004376136,6691588502004376136
