
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000007                       # Number of seconds simulated (Second)
system.cpu.fuBusyRate                        0.096385                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                   189645                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                   87000                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses           83783                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                      2999                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                      896                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses              896                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                       91944                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                         1593                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numRecvResp                          11833                       # Number of received responses (Count)
system.cpu.numRecvRespBytes                     22456                       # Number of received response bytes (Byte)
system.cpu.recvRespAvgBW                         1.65                       # Average bandwidth of received responses ((Byte/Cycle))
system.cpu.recvRespAvgSize                       1.90                       # Average packet size per received response ((Byte/Count))
system.cpu.recvRespAvgRate                       0.87                       # Average rate of received responses per cycle ((Count/Cycle))
system.cpu.recvRespAvgRetryRate                  0.00                       # Average retry rate per received response ((Count/Count))
system.cpu.numSendRetryResp                         0                       # Number of retry responses sent (Count)
system.cpu.numSquashedInsts                       104                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                               1                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                             147                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads           6355                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores          6079                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads           70                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores           50                       # Number of conflicting stores. (Count)
