direction,width,size_exp,pattern,repeats,timing_model,baseline_ticks,pim_ticks,speedup,baseline_checksum,pim_checksum
left_arbitrary,32,1,0,1,1,74308538000,69682505000,1.0663872947736308,11824619395543620615,11824619395543620615
left_arbitrary,32,1,0,8,1,61718659000,64926826000,0.9505879588199799,7716965577253633952,7716965577253633952
left_arbitrary,32,1,0,13,1,130702721000,91456169000,1.4291296303915813,4790410927814146115,4790410927814146115
left_arbitrary,32,1,0,24,1,64058226000,66036762000,0.9700388701674986,18184975312256378440,18184975312256378440
left_arbitrary,32,2,0,1,1,133081901000,122394229000,1.087321698803299,6963949761851870393,6963949761851870393
left_arbitrary,32,2,0,8,1,107517120000,112757046000,0.9535290592837985,7270225203082584473,7270225203082584473
left_arbitrary,32,2,0,13,1,245069463000,164876016000,1.4863863704712517,8307806035285091084,8307806035285091084
left_arbitrary,32,2,0,24,1,111229011000,114281372000,0.9732908264349504,833126986194636737,833126986194636737
left_arbitrary,32,3,0,1,1,250241954000,227760706000,1.0987055598607074,11426437723633395787,11426437723633395787
left_arbitrary,32,3,0,8,1,198719065000,208356748000,0.9537443202943444,14483312704609356332,14483312704609356332
left_arbitrary,32,3,0,13,1,473862233000,311685352000,1.5203224340167258,4583672361430239654,4583672361430239654
left_arbitrary,32,3,0,24,1,205317937000,210757310000,0.9741912961405704,1263397539273380889,1263397539273380889
right,8,0,0,1,1,19488022000,19039298000,1.023568305932288,6691588502004376136,6691588502004376136
right,8,1,0,1,1,26919804000,25202891000,1.0681236529571152,309746094979863673,309746094979863673
right,8,2,0,1,1,41770880000,37534805000,1.1128572534211914,7000446281390432005,7000446281390432005
right,8,3,0,1,1,71373044000,62205127000,1.1473820156335346,2800809613316579837,2800809613316579837
right,16,0,0,1,1,27307637000,25905110000,1.0541409397605337,12339333376238885205,12339333376238885205
right,16,1,0,1,1,42203252000,38206628000,1.1046055150430967,5426131447256752491,5426131447256752491
right,16,2,0,1,1,71856341000,62854446000,1.1432181106170278,3975259989049732497,3975259989049732497
